Theme,Category_Type,Item,Group,Frequency (%)
Human Relations,Sub-category,Politics,KI (n=15),6.67
Human Relations,Sub-category,Politics,Experts (n=29),0.0
Human Relations,Sub-category,Politics,LCM (n=68),1.47
Human Relations,Sub-category,Politics,Interviews (n=47),4.26
Human Relations,Sub-category,Politics,Workshops (n=65),0.0
Human Relations,Sub-category,Politics,Female (n=14),14.29
Human Relations,Sub-category,Politics,Male (n=33),0.0
Human Relations,Sub-category,Culture/Norms,KI (n=15),6.67
Human Relations,Sub-category,Culture/Norms,Experts (n=29),0.0
Human Relations,Sub-category,Culture/Norms,LCM (n=68),7.35
Human Relations,Sub-category,Culture/Norms,Interviews (n=47),6.38
Human Relations,Sub-category,Culture/Norms,Workshops (n=65),4.62
Human Relations,Sub-category,Culture/Norms,Female (n=14),7.14
Human Relations,Sub-category,Culture/Norms,Male (n=33),6.06
Livelihoods/Economy,Sub-category,Livelihoods,KI (n=15),13.33
Livelihoods/Economy,Theme Total,TOTAL: Livelihoods/Economy,KI (n=15),20.0
Livelihoods/Economy,Sub-category,Livelihoods,Experts (n=29),0.0
Livelihoods/Economy,Theme Total,TOTAL: Livelihoods/Economy,Experts (n=29),3.45
Livelihoods/Economy,Sub-category,Livelihoods,LCM (n=68),7.35
Livelihoods/Economy,Theme Total,TOTAL: Livelihoods/Economy,LCM (n=68),79.41
Livelihoods/Economy,Sub-category,Livelihoods,Interviews (n=47),4.26
Livelihoods/Economy,Theme Total,TOTAL: Livelihoods/Economy,Interviews (n=47),48.94
Livelihoods/Economy,Sub-category,Livelihoods,Workshops (n=65),7.69
Livelihoods/Economy,Theme Total,TOTAL: Livelihoods/Economy,Workshops (n=65),53.85
Livelihoods/Economy,Sub-category,Livelihoods,Female (n=14),0.0
Livelihoods/Economy,Theme Total,TOTAL: Livelihoods/Economy,Female (n=14),92.86
Livelihoods/Economy,Sub-category,Livelihoods,Male (n=33),6.06
Livelihoods/Economy,Theme Total,TOTAL: Livelihoods/Economy,Male (n=33),30.3
Livelihoods/Economy,Sub-category,Tourism,KI (n=15),0.0
Livelihoods/Economy,Sub-category,Tourism,Experts (n=29),0.0
Livelihoods/Economy,Sub-category,Tourism,LCM (n=68),25.0
Livelihoods/Economy,Sub-category,Tourism,Interviews (n=47),14.89
Livelihoods/Economy,Sub-category,Tourism,Workshops (n=65),15.38
Livelihoods/Economy,Sub-category,Tourism,Female (n=14),35.71
Livelihoods/Economy,Sub-category,Tourism,Male (n=33),6.06
Livelihoods/Economy,Sub-category,Fisheries,KI (n=15),0.0
Livelihoods/Economy,Sub-category,Fisheries,Experts (n=29),3.45
Livelihoods/Economy,Sub-category,Fisheries,LCM (n=68),25.0
Livelihoods/Economy,Sub-category,Fisheries,Interviews (n=47),14.89
Livelihoods/Economy,Sub-category,Fisheries,Workshops (n=65),16.92
Livelihoods/Economy,Sub-category,Fisheries,Female (n=14),28.57
Livelihoods/Economy,Sub-category,Fisheries,Male (n=33),9.09
Livelihoods/Economy,Sub-category,Agriculture,KI (n=15),0.0
Livelihoods/Economy,Sub-category,Agriculture,Experts (n=29),0.0
Livelihoods/Economy,Sub-category,Agriculture,LCM (n=68),5.88
Livelihoods/Economy,Sub-category,Agriculture,Interviews (n=47),6.38
Livelihoods/Economy,Sub-category,Agriculture,Workshops (n=65),1.54
Livelihoods/Economy,Sub-category,Agriculture,Female (n=14),14.29
Livelihoods/Economy,Sub-category,Agriculture,Male (n=33),3.03
Livelihoods/Economy,Sub-category,Aquaculture,KI (n=15),0.0
Livelihoods/Economy,Sub-category,Aquaculture,Experts (n=29),0.0
Livelihoods/Economy,Sub-category,Aquaculture,LCM (n=68),2.94
Livelihoods/Economy,Sub-category,Aquaculture,Interviews (n=47),2.13
Livelihoods/Economy,Sub-category,Aquaculture,Workshops (n=65),1.54
Livelihoods/Economy,Sub-category,Aquaculture,Female (n=14),0.0
Livelihoods/Economy,Sub-category,Aquaculture,Male (n=33),3.03
Livelihoods/Economy,Sub-category,Trade,KI (n=15),0.0
Livelihoods/Economy,Sub-category,Trade,Experts (n=29),0.0
Livelihoods/Economy,Sub-category,Trade,LCM (n=68),1.47
Livelihoods/Economy,Sub-category,Trade,Interviews (n=47),2.13
Livelihoods/Economy,Sub-category,Trade,Workshops (n=65),0.0
Livelihoods/Economy,Sub-category,Trade,Female (n=14),7.14
Livelihoods/Economy,Sub-category,Trade,Male (n=33),0.0
Livelihoods/Economy,Sub-category,Transport,KI (n=15),0.0
Livelihoods/Economy,Sub-category,Transport,Experts (n=29),0.0
Livelihoods/Economy,Sub-category,Transport,LCM (n=68),10.29
Livelihoods/Economy,Sub-category,Transport,Interviews (n=47),2.13
Livelihoods/Economy,Sub-category,Transport,Workshops (n=65),9.23
Livelihoods/Economy,Sub-category,Transport,Female (n=14),7.14
Livelihoods/Economy,Sub-category,Transport,Male (n=33),0.0
Livelihoods/Economy,Sub-category,Infrastructures,KI (n=15),6.67
